name,status,price,items_sold,free_returns,shipping
Apple Watch Ultra 2 49mm Black Casing Black Ocean Band - Great Cond - 100% Batt,Pre-Owned,$439.99,0,False,999
Apple Watch Ultra 2 49mm Black Titanium Green Alpine Loop Excellent Cond - 100%,Pre-Owned,$489.99,0,False,999
Apple Watch Series 11 42mm GPS Cellular Jet Black Sports Band S/M - 100% Batt,Pre-Owned,$359.99,0,False,1199
Apple Watch Series 10 GPS + Cellular 42mm Smartwatch Aluminium Case - Excellent,Excellent - Refurbished,$237.99,331,True,0
Apple Watch SE 40mm 44mm GPS + WiFi + Cellular Pink Gold Gray Silver - Good,Good - Refurbished,$97.59,1268,True,0
Apple Watch Series 5 40mm 44mm GPS + WiFi + Cellular Pink Gold Space Gray Silver,Pre-Owned,$79.99,374,True,0
Apple Watch Series 10 (GPS + LTE) 46MM Jet Black Aluminum Case Black Sport Band,Very Good - Refurbished,$234.95,132,True,0
Apple Watch Series 7 41mm 45mm GPS + WiFi + Cellular Blue Black Green Starlight,Pre-Owned,$107.99,120,True,0
Apple Watch Series 8 45mm Gps Aluminum  32GB - Excellent,Excellent - Refurbished,$151.00,0,True,0
Apple Watch Series 7 Aluminum 41 mm GPS + Cellular Midnight Black (Good),Good - Refurbished,$135.89,98,True,0
Apple Watch SE 40mm 44mm GPS + WiFi + Cellular Pink Gold Gray Silver Smart Watch,Pre-Owned,$77.99,308,True,0
Apple Watch Series 8 45mm Gps + Cellular Aluminum 32GB - Good,Good - Refurbished,$133.00,0,True,0
Apple Watch Series 9 41mm 45mm GPS + WiFi + Cellular Unlocked - Good,Good - Refurbished,$184.49,0,True,0
Apple Watch Series 8 41mm GPS Aluminum  32GB,Pre-Owned,$139.00,0,True,0
Apple Watch Series 10 GPS + Cellular 46mm Smartwatch Aluminium Case - Excellent,Excellent - Refurbished,$261.99,607,True,0
Apple Watch SE 3 40MM  [GPS + Cellular ] Aluminu Case - Smartwatch - Excellent,Excellent - Refurbished,$183.99,0,True,0
"Apple Watch Series 5 40mm Gold Aluminum Case with Black, Pink, Gold Bands",Pre-Owned,$42.50,0,False,965
Apple Watch Ultra 2 2nd Generation GPS & Cellular 49mm - Titanium - Excellent,Excellent - Refurbished,$396.99,352,True,0
Apple Watch Series 11 46mm GPS Space Gray Case w Black Sport Band MEV44LW/A 2025,Open Box,$289.00,399,True,0
Apple Watch Series 11 42mm GPS Rose Gold w/ S/M Light Blush Sport Band MEU04LW/A,Open Box,$269.00,60,True,0
Apple Watch Series Se 2nd Gen 40mm Gps + Cellular Aluminum 32GB - Good,Good - Refurbished,$104.00,0,True,0
Apple Watch Series SE (2nd Gen) 40mm GPS + WiFi + Cellular Unlocked - Good,Good - Refurbished,$99.99,294,True,0
Apple Watch Series 6 40mm 44mm GPS + WiFi + Cellular Gold Gray Silver Blue Red,Pre-Owned,$89.99,41,True,0
Apple Watch Series 11 46mm GPS Jet Black w/ M/L Black Sport Band MEUX4LW/A,Brand New,$299.00,26,False,0
Apple Watch Series 7 41MM/45MM (GPS) Aluminum Case with Sport Band - Excellent,Excellent - Refurbished,$119.00,33,True,0
Apple Watch SE 40mm 44mm GPS + WiFi + Cellular Pink Gold Gray Silver - Very Good,Very Good - Refurbished,$106.99,97,True,0
Apple Watch Series 7 45mm (GPS + Cellular) Aluminum Case - Good,Good - Refurbished,$115.99,184,True,0
Google Pixel Watch 41mm GPS + WiFi + Bluetooth Gold Black Silver Watch - Good,Good - Refurbished,$43.49,914,True,0
Apple Watch Ultra 2 (2023) Titanium 49mm A2986  (GPS + Cellular) Back (Good),Good - Refurbished,$400.49,54,True,0
Apple Watch Series 10 GPS + Cellular 42mm Smartwatch Aluminum Case - Very Good,Very Good - Refurbished,$232.99,0,True,0
Apple Watch SE 3 44MM  [GPS + Cellular ] Aluminum Case - Smartwatch - Excellent,Excellent - Refurbished,$203.99,0,True,0
Apple Watch Series Se 2nd Gen 44mm Gps Aluminum - Sport Band 32GB - Good,Good - Refurbished,$104.00,0,True,0
Apple Watch Series 6 40mm (GPS + Cellular) Aluminum Case - Good,Good - Refurbished,$96.99,292,True,0
Apple Watch Series 11 46mm GPS Jet Black Case w Black Sport Band M/L MEUX4LW/A,Open Box,$284.00,275,True,0
Apple Watch Series 11 46mm GPS Jet Black w/ M/L Black Sport Band MEUX4LW/A,Open Box,$285.00,0,True,0
Apple Watch Series 4 40mm 44mm GPS + Cellular - All Colors W/ Sports Band,Pre-Owned,$70.99,0,False,0
Apple Watch Series SE 2nd Gen 40mm/44mm GPS Aluminum with Sport Band - Excellent,Excellent - Refurbished,$129.00,8,True,0
"(Re-Newed) Apple Watch Ultra 2 Black Titanium (GPS + Cellular, 49MM)",Pre-Owned,$330.00,92,False,0
