name,status,price,items_sold,free_returns,shipping
"Kitchenaid Stand Mixer 6QT WP9709231 Worm Gear Follower, Bevelled Gear,Hub Gear",Brand New,$59.99,0,False,1998
KitchenAid Refurbished 6 Qt Bowl-Lift Mixer RKSM60ER Empire Red,Brand New,$190.99,11,False,0
KitchenAid 6QT Bowl Lift Stand Mixer Empire Red Refurbished Heavy Duty 11 Speed,Brand New,$173.97,0,False,0
New Refurbished KitchenAid 6 Quart Bowl-Lift Mixer RKSM60CU Contour Silver,Brand New,$185.00,0,False,0
"KitchenAid Refurbished Artisan Series 5 Quart Tilt-Head Stand Mixer, RRK150",Certified - Refurbished,$249.99,0,True,0
"KitchenAid Refurbished KitchenAid 6 Quart Bowl-Lift Stand Mixer, RKSM60",Certified - Refurbished,$259.99,372,True,0
KitchenAid 5.5 Quart Bowl-Lift Stand Mixer - Contour Silver,Open Box,$262.00,0,True,0
Refurbished KitchenAid 6Qt Stand Mixer Contour Silver Bowl Lift Pro 11 Speed,Brand New,$172.99,0,False,0
KitchenAid KSM97DR Deluxe Series 4.5 Quart Tilt-Head Stand Mixer with Stainless,Brand New,$259.99,0,True,0
"KitchenAid Refurbished 5.5 Quart Bowl-Lift Stand Mixer, RKSM55",Certified - Refurbished,$249.99,336,True,0
kitchenaid 5-quart artisan tilt-head stand mixer,Brand New,$200.00,0,False,
Refurbished KitchenAid 6 Quart Bowl-Lift Stand Mixer RKSM60CU New,Brand New,$175.92,0,False,0
KitchenAid 6QT Contour Silver Mixer Refurbished – 11 Speed Precision,Brand New,$180.99,0,False,0
KitchenAid Refurbished 5.5 Quart Bowl-Lift Stand Mixer,Pre-Owned,$175.00,0,False,0
KitchenAid Refurbished Artisan 5-Qt Tilt-Head Stand Mixer–Mineral Water Blue,Open Box,$179.78,8,False,0
KitchenAid Refurbished RKSM60CU 6 Qt Bowl-Lift Stand Mixer Contour Silver,Brand New,$185.00,0,False,0
KitchenAid K45SSOB Standalone Mixer Only - Onyx Black - Powers On,Pre-Owned,$99.99,0,False,0
KitchenAid 6QT Mixer Contour Silver Refurbished – Perfect for Bread Dough,Brand New,$174.99,0,False,0
KitchenAid 6 Quart Bowl-Lift Mixer Contour Silver Refurbished Heavy Duty,Brand New,$170.00,0,True,0
"KitchenAid Artisan Series Refurbished 5 Qt. Tilt Head Stand Mixer,",Certified - Refurbished,$249.99,27,True,0
KitchenAid RKSM60ER Refurbished 6 Quart Bowl-Lift Empire Red Mixer,Brand New,$171.95,0,True,0
"KitchenAid Refurbished 7 Quart Bowl-Lift Stand Mixer, RKSM70ZZBASE",Certified - Refurbished,$324.99,149,True,0
KitchenAid K45SS 10 Speed Lift Stand 4.5QT Mixer w/ Bowl (No attachments) Tested,Pre-Owned,$84.99,0,False,3697
KitchenAid Stand Mixer,Open Box,$322.99,0,True,0
"KitchenAid Artisan 325W Red Stand Mixer 5qt Bowl, Shield, Dough Hook, Egg Beater",Pre-Owned,$100.00,0,False,6608
KitchenAid Artisan Design Series 5 Quart Stand Mixer Evergreen KSM180WSEG,Brand New,$725.00,0,False,0
KitchenAid Commercial 8-Quart Stand Mixer Contour Silver,Brand New,$460.00,0,False,0
KitchenAid Refurbished 6 Qt Bowl-Lift Mixer RKSM60ER Empire Red,Brand New,$185.99,0,False,0
Refurbished KitchenAid Artisan 5 Qt Tilt-Head Stand Mixer Empire Red,Brand New,$174.90,11,False,0
Refurbished KitchenAid Artisan 5 Qt Tilt-Head Stand Mixer Onyx Black,Brand New,$174.90,0,False,0
