name,status,price,items_sold,free_returns,shipping
Vintage Boyds Collection J.B. Bean Series Teddy Bear - Floral Jumper & Flower,Pre-Owned,$39.99,0,False,0
BRUBIES Teddy Panda - 10 Inch Teddy Bear in Panda Costume with Hood,Brand New,$24.99,0,False,0
BRUBIES Teddy Elephant - 10 Inch Teddy Bear in Elephant Costume with Hood,Brand New,$24.99,0,False,0
"17.7"" Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift",Brand New,$29.99,134,False,0
12'' Teddy Bear Stuffed Animal Soft Plush Toy Baby Shower Valentine's Day Gift,Brand New,$9.87,0,True,0
10'' Teddy Bear Stuffed Animal Plush Toy Valentine's Day Christmas Birthday Gift,Brand New,$9.39,165,False,0
"Ted 2 Movie Teddy Bear Figure 10cm (4"") Movable Collectible Toy w/ Box",Brand New,$24.99,0,False,0
"10"" Teddy Bears Bulk 6 Packs Teddy Bear Stuffed Animals Plush Toys Gift for Kids",Brand New,$26.59,0,True,0
"MorisMos Pink Giant Teddy Bear 4 Feet, Lovely 47inch Classic Stuffed Animals",Brand New,$38.99,0,False,0
4ft Giant White Teddy Bear Plush Stuffed Animal Soft Huge Valentines Gift,Brand New,$36.79,0,True,0
"10cm TED 2 Movie Teddy Bear 4"" Boxed Movable Action Figure Toy Collectors Model",Brand New,$24.04,51,False,599
"TED 2 Movie Teddy Bear 3.5"" Boxed Movable Action Figure Toy Collectors Model",Brand New,$29.95,0,True,0
"MorisMos Big Teddy Bear with I Love You Red Heart 36""  Cuddly Large  Teddy Bear",Brand New,$39.99,0,False,0
BRUBIES Teddy Unicorn - 10 Inch Teddy Bear in Unicorn Costume with Hood,Brand New,$24.99,0,False,0
BRUBIES Teddy Frog - 10 Inch Teddy Bear in Frog Costume with Hood,Brand New,$24.99,0,False,0
BRUBIES Teddy Bunny - 10 Inch Teddy Bear in Bunny Costume with Hood,Brand New,$24.99,0,False,0
"GUND Baby My First Teddy Bear Stuffed Plush Toy Soft Pink 10"" for Newborn Infant",Brand New,$8.99,0,False,0
10pcs/Lot  4.3 inches Mini Teddy Bear Stuffed Plush Toys  with Dress,Brand New,$14.85,0,False,180
Kohl's Cares Corduroy Teddy Bear Plush Green Overalls 14” Stuffed Animal 2016,Pre-Owned,$8.00,0,False,562
10'' Plush Teddy Bear Stuffed Animal Doll Soft Plushies Toy Valentine's Day Gift,Brand New,$10.39,1404,True,0
Giant Teddy Bear 35.4'' Giant Stuffed Animal Big Bear Plush Toy,Brand New,$23.99,0,True,0
World Zero WZ - MOUNTS - *DISCOUNT*,Brand New,$2.99,0,False,0
"New 6"" Red Hot Plush Comfort Teddy Bear Animal Toy Gift",Brand New,$10.98,39,False,0
"The Teddy Bear - Hardcover By McPhail, David - VERY GOOD",Pre-Owned,$4.18,11,True,0
Kanye West Teddy Bear Plush Doll Music Graduation Teddy Bear Collection,Brand New,$14.99,278,True,0
Build A Bear BAB Timeless Teddy Brown Classic Bear Plush Original NWT UNSTUFFED,Brand New,$12.99,0,True,0
"Precious Moments Teddy Bear Plush 9"" Stuffed Animal with Pink Bow",Pre-Owned,$10.44,0,True,0
OFFICIAL MR. BEAN TEDDY BEAR BEANIE BABY - UK EXCLUSIVE - RETRO TY BEANIE BABY,Brand New,$19.99,381,False,0
BRUBIES Teddy Cow - 10 Inch Teddy Bear in Cow Costume with Hood,Brand New,$24.99,0,False,0
Lot of 59 Enesco Cherished Teddies Figurines Resin Bears Collection Vintage Bulk,Pre-Owned,$349.94,0,False,2257
Teddy Bear / Resin Furniture Appliqué / Scrapbooking /Embellishment/Crafts,Brand New,$14.99,0,False,552
"Sao Tome and Principe Flag Teddy Bear Plush 10"" Baby Gift Souvenir | Rep Ya Flag",Brand New,$55.93,0,True,0
"Anco Teddy Bear Black Dress With Red Roses With White Hat Sitting Plush 7""",Pre-Owned,$9.99,0,True,0
"Walmart Chocolate Brown TEDDY BEAR 12"" Plush Plaid Gingham Bow Vintage Stuffed",Pre-Owned,$49.99,0,False,800
Charlie Bears Evans | Plush Green Teddy Bear Collectable,Brand New,$299.00,0,False,1272
2026 Walmart Happy Valentine's Day TEDDY BEAR PRINCESS 22 Inches Tall,Brand New,$26.00,0,False,1200
Kids Preferred Vintage Emerald Green Teddy Bear Plush Stuffed Animal,Pre-Owned,$35.00,0,False,1050
50pcs Blue Teddy Bear Sunflower Seeds - Stunning Annual Blooms for Your Garden,,$5.95,867,True,0
"Maximilian Mink Teddy Bear,Brown,Button Eyes,Plaid Neck Bow, 11""x 10""x 5.5""",Pre-Owned,$99.00,0,True,720
"Teddy Mountain 16"" Zombie Teddy Bear Stuffie Plush Craft Birthday recordable",Brand New,$32.99,0,False,0
"17.7"" Ted 2 Movie Teddy Bear w/Apron Plush Soft Stuffed Animals Plush Toy Gift",Brand New,$20.99,0,False,0
Vintage Teddy Bear Smithsonian Institution PLUSH Purple T-Shirt Roosevelt NWT,Brand New,$9.99,0,False,899
